idempresa,idmercado,idindustria,infraestructura,bancos,insumo1,insumo2,enproceso,mercancias,clientes,proveedores,hipotecas,capitalsocial,utilidades
195,2,4,1100455.531,305272.1819,273936.2501,294585.66,262383.3387,301833.6259,302747.0747,578957.3148,580336.9412,1346689.709,335229.6969
196,3,2,626956.1469,273557.3519,339240.6914,324820.7576,326517.9304,297462.827,293441.6996,578419.495,684393.1632,1010493.208,208691.5389
197,2,3,765668.2479,289987.9474,339052.6457,271411.6961,308606.5836,292981.4308,286813.2865,652774.7059,529734.0816,1164112.663,207900.3876
198,3,6,1439330.262,293705.5192,322072.0332,307377.8452,319814.4949,291536.8833,253725.2003,660066.9481,606279.4261,1327177.563,634038.3015
199,1,3,896975.0513,310762.8482,319929.0973,289364.0408,300590.3073,298438.1276,310324.765,585379.5068,694007.1262,1156735.33,290262.2746
200,3,1,202500.2113,283744.6612,311539.5694,278539.9681,266388.8115,290161.6056,302090.0951,613280.3989,686582.8923,1100111.926,-465010.2946
201,3,1,179716.2952,219639.6095,313839.3306,304084.5388,298094.7234,301394.9864,348068.2285,600427.407,627354.236,1129818.415,-392762.3459
202,2,5,1133648.337,294937.7201,304985.7904,299292.4018,290901.3068,331338.3021,307326.7272,677540.8208,616199.5592,1193146.185,475544.0206
203,3,2,551471.1229,283407.6539,313705.7998,253202.379,272071.8596,335384.6545,321684.4132,557471.8512,675369.1684,1220946.161,-122859.2976
204,3,5,1170278.569,300126.6977,298492.5303,293104.881,269411.9815,284682.3959,294998.9998,562871.5381,611944.0412,1399544.707,336735.7694
205,3,3,739644.356,272733.6761,307705.7209,304175.1291,290673.6999,298113.4615,336936.9864,529009.1262,705625.7751,1121929.029,193419.0995
206,1,3,793150.3784,305633.4122,251252.3918,351819.3363,281648.595,317481.9563,265794.4433,684732.6614,577284.0821,1241150.634,63613.13597
207,1,5,1154081.757,290030.727,290121.9783,281263.074,304342.0029,284523.3779,305777.2777,617369.9935,519877.5029,1292009.527,480883.1717
208,1,3,643375.3103,302394.013,307650.5885,318068.9207,274738.3796,297705.6214,286054.934,579253.8873,534758.5036,1088410.057,227565.32
209,2,6,1749910.297,333086.6457,277700.202,289921.0859,255785.832,306662.6842,280348.2099,630212.2516,616627.6447,1279965.667,966609.3941
210,1,2,607373.3153,310083.699,312037.9324,319625.8168,313608.0467,300628.5976,331636.3695,652453.8295,603023.5336,1245014.607,-5498.192359
211,2,5,1219749.693,301430.6255,281763.8994,321818.0445,290807.6785,258485.6766,279608.2523,593038.35,587602.2704,1237241.719,535781.5307
212,3,2,638979.1436,287982.6237,314784.7282,284629.4316,312496.9081,287595.6919,301786.2015,563085.8961,664509.927,1266603.152,-65944.24608
213,2,3,753185.4182,286020.6912,293024.8673,275514.8505,308376.0797,290830.1254,313279.6637,626353.7568,572225.2938,1221975.517,99677.12822
214,2,4,980030.2655,276773.6957,282147.7005,283239.9098,288982.2454,283387.7292,285627.2061,678462.1258,542954.4454,1203001.023,255771.1577
215,2,5,1273427.783,294915.903,276278.3429,336823.7588,286733.1656,311272.0046,285857.347,591170.7951,566325.51,1167545.335,740266.665
216,1,5,1199747.352,294723.3531,271670.7482,321370.3391,334995.4185,301543.0306,316626.7317,698125.7372,596506.7068,1204418.858,541625.6712
217,3,3,764530.6264,319707.8084,305849.0937,286379.7501,311392.39,283749.6229,284358.9332,554841.2987,610085.4111,1274370.464,116671.0511
218,1,3,807082.5885,277704.9914,306342.8881,305749.6227,271797.3084,264649.9061,290641.822,576328.1977,586916.5349,1181075.755,179648.6395
219,2,1,185867.933,314743.6486,318225.1801,324028.1228,299149.5966,248313.9142,325050.6504,603872.4904,626702.9913,1240845.761,-456042.1974
220,1,4,1107989.302,280856.1883,325555.8794,273576.2449,319472.2132,307332.245,258261.8215,531747.8613,646865.849,1058361.183,636069.0009
221,3,4,918825.1706,288983.7381,305913.2941,318699.7526,317629.5577,304088.2696,281894.4333,598353.4782,553741.8712,1161743.094,422195.7726
222,1,4,1037711.548,295983.5595,279571.0961,292371.5048,276652.3285,351766.8973,278620.4901,607937.621,553094.5634,1070889.441,580755.7988
223,2,3,779634.6297,346056.1078,296927.4624,311869.1578,298233.4634,338391.7503,281381.5383,544314.4528,621999.0999,1175878.6,310301.9566
224,2,5,1141595.557,284687.5267,339786.4454,289652.722,268387.3466,257347.4317,300336.8485,564988.2683,548124.6001,1303547.956,465133.0537
225,3,3,880671.9682,303720.1442,332068.1732,271036.9518,266528.8515,281490.7247,304887.9359,647235.734,682456.782,1124543.039,186169.1943
226,3,3,783737.7785,299871.9501,252167.5844,313520.6319,260132.7061,290872.7867,291835.1979,635757.6293,641889.9751,1136335.258,78155.77323
227,3,2,605792.4568,293773.4302,300839.5702,327055.154,278362.5909,308995.9449,290642.7474,600309.8988,600504.2918,1257959.165,-53311.4614
228,3,2,618567.4955,344314.8137,312686.2366,224289.0733,305170.3864,306107.5955,299975.7251,606839.815,544959.407,1127740.821,131571.2833
229,2,3,855282.8633,301734.5695,313190.153,317065.8295,294538.2815,321420.0911,308722.9257,551108.8807,573878.8146,1186474.152,400492.8663
230,1,4,1041838.577,304020.4489,291108.7544,337426.7991,334518.8293,271447.6217,274553.1598,630530.6459,613509.6822,1149961.575,460912.2878
231,1,2,586047.6463,292260.7694,306354.2314,298804.0416,305690.8996,291784.2796,281024.0944,614487.045,680475.3223,1379522.89,-312519.2952
232,3,3,791287.5551,283131.7568,272124.8713,281351.5318,304629.5759,326625.6144,306811.2773,518424.8595,641388.132,1204000.219,202148.9725
233,3,3,766724.6337,292167.8583,287571.181,297279.4867,271402.0409,272181.9847,288456.3867,601758.3891,619787.6902,1156307.086,97930.40676
234,2,5,1246277.862,301634.5785,283234.4948,288712.1795,273416.4123,336478.1019,304197.5788,665966.5638,577889.4545,1257784.762,532310.4272
235,3,4,1020424.052,299624.8675,315401.5155,337668.2773,304249.6955,301430.5788,344830.6367,641211.4186,533118.1269,1044439.84,704860.2381
236,3,4,963703.0507,319964.1023,268049.5039,285465.5184,270142.6719,332783.9713,316541.2138,544014.0857,543307.3724,1332111.842,337216.7319
237,2,3,826325.8055,262127.3389,296985.5587,314405.6581,283676.066,255183.2658,313015.9562,661946.6764,604117.1388,1111775.334,173880.5
238,1,4,938923.2491,335558.6851,264656.5632,311926.5358,255064.2347,294559.4778,315447.1127,619373.3789,614319.1603,1229105.058,253338.2616
239,2,2,631314.7543,300788.069,300360.4841,277741.7978,278507.2913,314349.73,297298.1878,558686.0043,593300.2316,1104379.908,143994.1705
240,1,4,955837.5569,303698.9065,342205.6049,270974.3515,264862.9462,285602.6661,300344.3674,612337.9287,598375.1995,1058083.606,454729.6648
241,3,5,1258367.184,320451.1501,316806.1701,241000.4708,348517.0525,287691.3788,278316.2295,516258.5957,528831.2149,1252664.689,753395.136
242,3,6,1496980.471,314548.0086,262844.9288,325403.3293,296236.8909,304963.3363,284281.1926,564512.2217,636744.8396,1132441.147,951559.95
243,3,2,607253.5958,284045.8217,293021.3573,298714.7786,314208.3228,299474.3834,319402.3081,573904.9897,489803.6978,1115284.048,237127.8323
244,1,1,222267.2702,265633.6211,305682.6565,304578.4663,286094.1775,285256.148,326155.3773,620649.5089,682367.3729,1284836.808,-592185.9732
245,1,6,1432060.295,321601.5208,314268.8508,307786.488,304235.4768,306326.1124,298175.3962,546264.4944,643367.5625,1065031.615,1029790.467
246,3,1,216380.0949,320990.0505,310694.6826,255025.5263,291416.2709,313526.3906,299340.1132,583008.5012,593283.5381,1080478.688,-249397.5984
247,2,1,215036.4272,305855.473,302125.9827,252676.186,314292.7648,277689.6998,285761.1965,570095.2409,658820.2928,1256994.36,-532472.1633
248,1,5,1271214.216,287352.0428,276778.1003,351853.9306,269297.1408,327673.555,300015.8165,600651.9876,602250.8013,1256638.914,624643.0986
249,2,5,1250323.807,347014.8724,310023.494,326688.242,289267.0544,281108.5528,299857.6372,573567.0272,666073.125,1258751.048,605892.4598
250,1,3,829503.3325,293577.6628,341488.5813,265053.7162,266167.64,350667.2848,301015.9677,591670.9862,618810.9037,1322772.467,114219.8288
251,2,3,908821.6878,339644.1296,297168.5003,292535.8686,307114.9439,288632.5303,279048.1776,573540.903,530077.7127,1380994.548,228352.6742
252,1,2,668652.9295,302956.3143,309679.6956,317126.8723,307688.1048,332437.4679,294750.1234,595481.7362,615433.3063,1094532.364,227844.1009
253,3,5,1157681.352,312779.3623,309287.7774,318973.9551,295282.2362,299135.8636,275517.674,648501.4014,602052.0117,1320529.877,397574.9298
254,2,4,1054444.149,334001.2826,282795.684,291560.264,275611.4177,320121.9249,294998.6775,589187.6188,640200.5558,942305.7856,681839.4398
255,1,5,1258570.349,302173.2223,342538.8169,297968.4179,289466.2983,303365.8356,304467.3089,556935.6652,611509.4868,1193016.907,737088.1898
256,3,1,190021.6045,304442.0081,333376.2163,286609.8748,306917.2194,250893.9767,315083.1904,707295.8766,598908.7047,1227306.313,-546166.8038
257,2,2,618965.3567,303697.9676,292753.3349,322994.8585,309710.6942,295269.6731,279322.3395,613911.1695,603348.9664,1076666.934,128787.1546
258,1,4,940784.1349,304369.5113,287009.2652,323346.3062,253998.1485,325745.8851,321664.8644,646367.7657,619005.3151,1172279.341,319265.6942
259,3,5,1122591.533,282646.5434,278665.4678,297099.247,279557.1571,334122.4096,284620.4014,580453.7001,595490.6431,1193979.458,509378.9584
260,3,6,1737601.258,321352.8408,283244.6419,269486.7388,274272.8523,322048.4183,299691.379,700863.1063,586803.4164,1259160.651,960870.9553
261,2,2,554735.998,331014.1957,271330.3063,295069.877,323072.5917,286246.4881,302492.9048,489428.7209,529634.3355,1092069.895,252829.4099
262,1,4,1000099.832,309360.7777,321138.1066,314421.6651,302863.4824,314343.3611,274249.1497,646778.2994,589546.6427,1105920.727,494230.705
263,1,5,1047499.892,312945.4902,281866.4303,284094.8729,323706.6207,290612.1994,312263.4445,573662.01,579732.2873,1285782.898,413811.754
264,1,6,1651572.702,300272.7043,313146.3776,285990.0918,282069.0962,293635.4078,306950.9771,609795.5987,545572.8722,1239448.037,1038820.849
265,2,5,1155117.357,284467.9959,281184.5046,349192.2047,313403.4935,280625.0998,280675.8768,672055.4301,537982.2159,1252848.093,481780.7925
266,1,1,217726.8514,331028.1326,314520.8477,345102.9917,282245.0438,347639.2661,346542.333,598864.2605,655893.7853,1264511.673,-334464.2532
267,2,5,1357481.059,300845.6611,299493.6835,334564.8892,313725.2081,301431.8129,252790.1101,580824.0531,648972.6762,1085885.292,844650.4022
268,2,3,864699.7078,318296.1717,307521.0839,289503.9361,318313.6,285602.7161,255701.3303,591256.3239,608256.992,1239140.344,200984.8861
269,1,6,1668726.852,306750.5651,271481.1156,277921.5164,332487.235,311325.1883,296788.8921,621821.8297,599593.2744,1109186.074,1134880.186
270,3,5,1258530.395,294011.829,290583.3207,295291.3251,308414.7773,327529.4749,277985.3408,615279.9132,571606.467,1295037.206,570422.8763
271,2,3,811637.6355,327081.0456,280696.1922,308750.4511,286625.2559,281134.3493,328439.8084,632003.0803,609101.8072,1165101.622,218158.2281
272,1,4,1021059.863,277117.8386,292299.9081,272598.489,317529.2235,310560.8732,295820.1567,570418.0959,537511.7464,1158283.873,520772.6369
273,3,6,1481658.212,258303.5619,318661.7647,241649.6316,264419.9446,268102.0036,328377.0186,586344.0108,567696.6473,1103368.952,903762.5261
274,1,6,1759687.634,308818.6232,298020.0734,314632.6857,332112.3544,332900.6755,278727.1821,626526.7973,598778.4229,1233158.576,1166435.432
275,1,2,529993.4243,244368.5389,326402.1052,310548.887,302564.4589,312191.7072,286920.4881,575602.1286,577558.7802,1199102.174,-39273.47325
276,2,4,1122609.162,305596.7782,299509.8967,301047.2431,308034.3024,290314.1223,319778.0708,627367.4654,631474.6763,1090417.478,597629.956
277,1,5,1162004.706,270222.3297,311628.9029,366006.3928,320412.4696,333499.5143,297691.8629,575020.0205,646720.0253,1269126.579,570599.5534
278,1,2,528831.7652,285879.1477,296746.8587,272079.7342,299252.5466,272526.6944,322920.3028,629312.4492,586504.5776,1125561.815,-63141.7928
279,1,4,990713.8126,332919.8144,295347.5194,291270.8114,289493.0633,275488.1303,289253.8583,571767.0337,665877.4394,1168161.886,358680.6502
280,3,5,1181106.376,326514.0019,283167.7472,327674.1385,310297.108,290570.4658,296565.1738,575052.6343,549715.9606,1183867.889,707258.5268
281,2,4,1071527.045,303699.9249,325974.643,320987.2483,311672.157,317564.3795,309423.2551,604649.6211,633309.3076,1152420.336,570469.388
282,2,3,722027.5836,288373.1292,278173.8782,303901.2055,263340.8937,316771.2885,307039.0499,589388.6867,538417.5218,1198899.634,152921.1861
283,2,4,808606.4433,272928.6432,299506.2749,306449.5804,275970.4939,300779.33,284279.0414,588290.7421,535839.4477,1154861.094,269528.5231
284,2,5,1113232.388,256929.7074,295080.7358,290644.3472,280211.0889,306609.8441,310290.8514,675461.1721,605085.1212,1288302.23,284150.4398
285,1,6,1604178.258,305945.8282,290385.1215,303430.9011,290018.0755,315680.3328,282958.5198,575650.8982,578880.401,1219552.999,1018512.739
286,2,3,815585.6937,269853.6291,297807.3225,348953.465,311215.86,298198.4652,293239.7504,664355.364,551558.0959,1180320.07,238620.6559
287,1,1,212476.6703,305877.1977,275953.148,288675.9025,344536.6053,298407.0269,301074.6817,631592.58,571209.3185,1212694.169,-388494.8352
288,1,4,1048035.622,347028.616,302534.3797,302743.1064,276733.5609,298317.678,287079.7395,586238.9614,575009.8452,1257798.729,443425.1672
289,2,2,629347.0689,305424.8707,284498.6155,308038.3054,279869.1711,312342.602,311183.0212,522052.5933,543282.1298,1323892.673,41476.25863
290,1,6,1468442.391,287530.1183,317833.2337,302158.3347,286844.2416,288425.7428,305554.4846,588151.1374,543966.8288,1154449.074,970221.5068
291,1,2,657687.5854,305400.9627,309098.821,302977.1774,282369.5808,303385.2374,320784.1096,568539.4068,600036.2625,1239222.286,73905.51853
292,2,4,924270.3903,256639.0484,299631.5011,319784.5945,333024.5801,286261.0491,269063.7175,551214.9498,506014.7947,1179428.352,452016.7839
293,3,2,630752.8225,298701.1387,296663.1408,282295.0739,284522.4168,318739.6655,294069.617,615426.8674,589986.8362,1115571.256,84758.91573
294,2,5,1313945.788,301118.9184,320062.6944,309934.2455,291633.6126,320635.7216,294890.3341,609226.949,565674.8457,1206842.457,770477.0622
295,3,3,838201.9933,312004.925,274069.5858,283856.3407,308483.0443,301772.0953,282853.5026,626035.0623,571702.6409,1294731.544,108772.2403
296,1,2,600408.5198,314142.8442,323193.1781,248939.6703,282424.7939,319773.2032,313135.8252,560903.9001,636610.5232,1127435.105,77068.50644
297,3,6,1441084.67,300549.1261,328587.2024,299590.2332,304274.9597,296737.1158,299993.1101,599363.2035,653744.4666,1276263.961,741444.7855
298,1,2,623364.7467,288307.7707,333385.9316,301712.986,318730.9839,308039.4877,310683.1598,606469.4874,595836.707,1152690.057,129228.8148
299,3,4,1134157.652,289564.4868,247413.6754,296075.5592,312578.8094,293765.7436,307640.4034,540210.6762,617952.447,1203614.633,519418.5729
300,2,6,1435845.503,304995.7724,277866.9968,322266.0161,313078.9252,305926.7422,303360.1217,650540.0876,654623.6172,1250727.965,707448.4076
301,2,1,177956.9341,282799.4746,328517.121,316589.9208,308543.5996,299166.4859,314736.7774,567749.7863,643485.4654,1311841.993,-494766.9316
302,3,1,191789.3248,279626.141,299658.9086,302849.1641,303723.5918,338463.4035,289484.2446,598205.6114,584765.664,1281562.398,-458938.8953
303,3,1,217899.6677,314874.2232,284926.9994,306370.7684,291347.4521,301143.8592,316679.2688,573564.0941,497637.5947,1181312.59,-219272.0403
304,2,3,833620.6943,304036.622,253536.1601,274830.1223,303626.991,270171.7177,319818.4854,559820.4155,617487.9452,1240782.207,141550.2248
305,1,6,1768623.546,283139.9161,305468.318,314845.3975,327744.853,337182.2853,259505.5038,577960.5877,569314.2858,1064319.275,1384915.671
306,2,3,792976.6729,296728.4021,333258.6309,261836.0874,320650.4557,288130.7524,315977.7723,588204.6207,609727.8518,1002451.395,409174.9063
307,2,2,609618.2591,274124.5681,310978.4693,287286.8196,322089.5624,306208.8896,288011.5141,645843.346,550004.3829,1166797.258,35673.09501
308,1,2,642829.1823,296805.6613,289204.9668,280893.8789,282765.0018,286240.9971,316216.3707,564620.7693,642448.4579,1333387.419,-145500.5869
309,2,1,208108.6382,297128.129,260173.1374,330545.6063,276893.7709,305950.3517,324076.59,588921.4931,685562.7689,1199512.298,-471120.337
310,2,2,613553.6017,311748.8106,300331.5156,286443.7067,270174.0954,309604.9415,278526.2259,557822.5315,650351.0044,1113070.153,49139.20877
311,1,6,1525750.796,288481.6032,318020.9839,320197.4647,334027.9855,306820.4136,355679.6192,599564.6879,562268.242,1254906.85,1032239.086
312,2,2,632685.9537,286341.0674,341976.2742,281387.5302,276642.3847,313021.3383,276161.9404,534938.5282,615375.696,1150511.653,107390.6114
313,3,3,792333.5223,304575.1973,280959.2531,295829.3243,299209.6049,303071.6794,327721.9086,605682.1962,481907.6672,1237205.235,278905.391
314,2,6,1606788.986,332873.1913,337805.8067,271844.6552,308855.9065,289691.9315,305923.7002,605235.2142,591355.8401,1260161.573,997031.5501
315,1,6,1520219.832,280556.6515,323130.3094,321064.942,278424.1697,283857.3459,282510.534,586007.7394,587103.2706,1136756.665,979896.109
316,2,6,1755541.012,290961.1508,275669.6219,284028.2412,295117.5991,269444.4326,268706.1698,640390.3683,587281.7587,1202640.809,1009155.291
317,1,4,1034291.466,333284.0703,296139.8209,306916.5774,329565.9467,247611.4691,288157.1211,602884.8963,624408.2184,1250451.087,358222.2696
318,3,2,572618.8679,289166.0946,284095.4154,286434.5071,307004.5983,305862.1621,308587.9222,561229.4869,628523.2382,1104262.22,59754.62227
319,3,5,1201542.611,306137.7167,263747.5647,332030.1136,364380.2562,313714.2919,311949.4157,603935.2683,644849.6337,1175553.037,669164.0302
320,1,3,896169.329,271273.6543,302257.7027,290075.0827,287614.5436,308445.7221,257335.8239,605662.658,541685.7784,1051234.593,414588.8286
321,1,3,694440.5712,349925.7402,300041.2833,276245.0822,309024.7594,287381.7241,309663.9587,630956.6098,635255.8465,1254787.714,5722.948574
322,1,2,565568.9173,322232.7865,320522.1774,296570.1495,287934.3892,294329.3306,266447.8718,637278.6323,515214.3538,1360724.762,-159612.1259
323,3,1,190789.9659,318939.2756,306107.7061,283342.9649,291537.4838,308492.6979,332617.2013,619163.9961,544056.8773,1235513.77,-366907.3482
324,1,2,540356.5045,327580.4422,321466.9287,323270.3316,277592.2673,317052.9343,273580.0932,547532.3031,504844.8391,1222086.323,106436.0363
325,1,1,217928.4308,283412.1595,301668.454,277794.6993,262357.9289,312035.9235,321781.6032,634705.6143,634055.9718,1166231.476,-458013.8626
326,3,6,1632713.816,292944.6202,300250.8053,306407.7082,287760.08,305230.7376,299681.652,566884.1461,592743.9556,1349177.454,916183.8637
327,3,2,633804.5171,302271.9646,290938.9791,288648.4701,253224.4465,316827.7615,256817.1749,622496.2477,611804.2613,1250564.61,-142331.8057
328,1,6,1701340.006,327713.2696,291309.0736,309858.5175,276861.8582,263016.8139,293886.9299,643278.7196,560040.1432,1160739.385,1099928.221
329,1,4,978211.8335,315654.9221,323666.0091,308683.4612,294827.1422,297685.1315,298433.5694,646059.2206,655841.1369,1179171.192,336090.5192
330,3,5,1170163.193,263699.095,293436.2547,261215.845,314152.9114,313276.9162,293883.3442,611318.146,495038.7917,1153796.09,649674.5318
331,2,6,1673624.227,296399.4202,294248.7631,299988.3974,322658.8569,279921.3353,309279.1793,615241.3416,546089.8929,1163198.446,1151590.499
332,1,5,1260171.038,329878.5319,271666.7076,320968.3188,276001.1179,335658.5831,309787.338,590179.2929,608016.1227,1225880.277,680055.9426
333,2,5,1213244.579,290378.225,288262.766,288084.9952,294576.0129,259983.1227,276339.5976,561913.8971,615226.0282,1264911.147,468818.2265
334,3,4,907195.6394,297558.9444,296377.9227,319289.0301,333583.8833,283310.5706,306700.3647,588947.9818,629295.6135,1209264.107,316508.6524
335,1,3,751085.7147,312524.0057,285569.8073,313928.7272,309196.4562,305475.162,283895.1663,595194.3685,569713.6729,1258103.218,138663.7795
336,3,4,851325.5507,287963.6725,292960.812,314065.2012,313936.5218,325019.7136,296663.7795,612830.0911,639202.8504,1086133.817,343768.4928
337,2,2,628689.0777,302040.8508,325974.6935,317940.6167,314740.645,312272.3234,322314.9862,644877.0818,581251.847,1416668.273,-118824.0085
338,1,6,1451515.616,320998.9064,332882.9752,295161.6669,331056.7102,264239.7365,296065.3795,632940.8512,627967.2038,1106734.039,924278.8957
339,2,4,1002111.743,296435.5604,288669.7649,321727.3777,308532.9992,286985.2138,318621.9423,666209.7054,604835.8286,1197677.878,354361.1894
340,2,6,1710710.406,315439.0539,320397.5531,303539.456,294842.493,304501.1257,280932.419,549765.5726,636809.9266,1253308.661,1090478.347
341,2,2,498978.6665,305282.2099,306086.5726,348639.5216,316781.0328,310116.6564,271543.1391,641070.4222,604715.905,1178001.56,-66360.08853
342,2,5,1187930.756,330829.6246,325610.5093,275530.5338,339115.3912,293539.6828,304948.2832,596380.803,519674.1614,1102412.859,839036.9569
343,2,5,1137614.39,325901.9129,292605.6114,289815.4425,276517.7201,295762.5664,261441.2238,643148.6067,591236.4785,1248829.541,396444.2411
344,2,4,986564.9858,312808.6615,291914.6701,288707.6003,294663.7301,263129.9053,305989.8526,583792.428,607520.2479,1128292.935,424173.7953
345,3,2,620336.9871,326530.6904,302784.8632,326374.6794,300034.0215,288258.2717,269801.4573,632934.8182,630278.3617,1316018.102,-145110.3114
346,2,5,1359684.086,355909.9281,309386.024,311744.1308,324784.777,298450.1823,297547.4616,600111.175,639271.8705,1229656.75,788466.7934
347,1,5,1071278.865,306978.9517,305147.475,325234.7663,311604.1176,302528.0591,277777.9866,612523.9508,567547.4371,1114242.835,606235.9984
348,1,3,784524.8355,301472.8425,319542.4715,304320.4898,298790.2845,349682.9925,294864.3194,564589.2553,575937.2823,1105760.49,406911.208
349,1,2,559218.1259,267223.676,332538.2445,261004.5539,288555.8251,307398.9718,290117.6355,608557.398,542114.3657,1158159.203,-2773.934227
350,1,6,1624411.95,300893.1607,290179.4979,296481.8985,313730.7922,322441.3403,326234.199,551899.5457,510617.7184,1102004.796,1309850.778
351,3,1,194357.0409,311595.975,319499.4452,310175.5834,313720.8999,303167.6724,292363.2332,674021.9673,625024.2396,1203119.501,-457285.8576
352,1,6,1623658.857,316434.1324,273968.945,331964.7221,309259.9431,295291.9037,282696.4067,567518.9924,672398.9811,1222124.881,971232.0563
353,3,3,835312.9534,289014.3881,265391.5361,273888.9643,296496.155,270649.0285,297944.5246,579264.0502,586913.8697,1166783.181,195736.4493
354,1,2,614341.4662,332762.1545,285888.231,329582.7826,291452.8183,288258.6768,302157.3808,607443.9821,689174.2102,1202636.591,-54811.27309
355,3,2,551957.6501,307352.4485,306326.5686,302741.9113,326316.5773,329095.1941,356828.8617,630206.469,628029.512,1210585.604,11797.62631
356,1,5,1275756.24,319562.422,294462.4129,288089.0312,305478.5791,307683.7523,276184.5942,680783.7179,591401.5968,1178496.384,616535.3336
357,2,2,593566.1406,335507.5137,316489.0804,302728.9761,262391.796,338295.8962,283099.8562,533171.9578,627804.0125,1199623.008,71480.28116
358,1,1,222958.9313,272319.643,312559.9136,283252.2436,329661.2762,258777.7057,272682.1654,595747.7507,593057.6509,1228874.029,-465467.5513
359,3,4,1127816.618,302183.8549,330581.9399,299868.0004,328247.7138,303038.873,303022.8018,573526.9004,585075.2287,1316785.569,519372.1036
360,2,3,754408.4038,301965.5756,300948.9414,305874.9534,299348.2028,319432.7828,302036.8834,544449.6775,553024.8456,1089970.746,396570.4742
361,3,6,1557202.237,317810.3003,282853.9981,307623.4693,263677.3578,336735.0864,287512.4084,665361.5179,531051.6726,1080091.716,1076909.951
362,3,5,1169012.85,309762.5882,285388.6363,295538.3464,315433.9612,252075.4393,262458.8033,623147.2941,608326.5228,1164717.47,493479.3382
363,2,3,873646.7545,311739.4319,299233.1158,300935.734,314604.5243,271811.4876,284415.5346,623785.5457,538599.3527,1387626.782,106374.902
364,2,4,957147.8596,313920.7143,297353.805,261671.7941,282182.477,273475.0409,308139.0532,681727.5702,540940.8425,1001589.039,469633.2928
365,1,4,1018418.627,285710.2208,296688.2782,284226.7116,320261.7984,297425.1369,289090.9542,634675.6886,563506.2106,1200895.149,392744.6791
366,2,4,974902.5244,269092.7737,305547.1251,336267.7478,316185.6194,253102.8989,256884.7921,581172.7257,602254.6247,1296019.89,232536.2415
367,3,4,1013043.635,311222.7234,289842.7271,297322.1808,286042.9829,307238.8786,320047.7812,552180.6885,626605.263,1196398.736,449576.2212
368,3,1,196495.8076,315809.004,320101.2027,296235.9012,336756.3874,300331.3774,337728.9387,594877.427,566790.1783,1003141.674,-61350.66047
369,3,6,1638352.751,295821.6772,276067.6034,300543.7175,319403.7557,293180.5956,286717.3136,611560.0665,637308.1816,1147428.17,1013790.995
370,3,5,1252529.635,317985.489,316337.9626,321845.3103,302083.3217,288378.814,280326.8729,516451.7102,618047.6765,1207882.935,737105.0839
371,2,3,822950.4475,284481.6949,283375.7653,310093.9626,344696.592,282709.318,320914.6275,594965.9956,606637.7373,1134355.569,313263.1056
372,2,5,1245947.753,296137.2049,276443.3337,280179.4463,303260.6051,290721.5878,295741.1666,617466.2338,596979.3202,1157474.106,616511.4368
373,2,4,1078747.994,287341.5579,298348.5305,312009.159,307211.7251,258594.7239,312367.5037,603543.0253,634883.7656,1199533.546,416660.858
374,1,1,207503.984,324914.9034,335310.5047,300966.82,257327.6502,301475.5843,311716.8482,649058.8858,622775.0753,1261940.843,-494558.5095
375,2,4,1033308.772,320864.1294,329990.6057,271738.5392,341676.5957,293313.5672,288221.4419,587147.0011,652872.2152,1235161.774,403932.6606
376,2,1,240490.4651,311859.8339,296055.7626,302442.4984,286209.6126,323652.608,323304.0295,537144.6774,599173.8607,1108648.248,-160951.976
377,2,5,1237387.532,313496.2719,280527.5619,281846.557,299227.3976,313197.887,318969.836,604133.678,631308.6245,1160184.011,649026.7296
378,3,2,589657.7005,270407.6199,310064.2385,307675.502,370337.4917,327173.4469,257562.3861,609729.551,656149.9871,1129848.897,37149.95028
379,1,2,666838.9727,326803.7334,303826.3535,318507.3579,290953.7331,322903.218,282251.565,623722.1267,480332.9634,1181333.428,226696.4157
380,1,6,1551628.322,310821.3687,324341.8037,290433.6117,277307.5987,296345.6457,293094.7993,571833.2147,557401.6296,1199376.167,1015362.139
381,3,4,975630.1516,307316.1451,315588.6885,252598.6083,313818.8551,300808.6857,297056.9152,631422.6698,570151.0673,1216175.711,345068.6015
382,2,3,757523.6808,229845.9013,290313.686,270653.3746,276407.3581,282475.1445,272741.6324,630425.312,633537.1226,1261077.235,-145078.8921
383,3,6,1370441.83,307052.6471,309294.5557,304604.8542,294932.6693,335669.6176,354858.5082,646292.7849,594238.0228,1299511.209,736812.6652
384,1,2,587211.9769,293198.294,292886.2951,292844.7133,300734.7105,295966.4425,270053.3832,578998.0174,584779.512,1201823.279,-32704.993
385,3,1,210495.4994,285306.4331,291909.5627,315421.2836,312102.4784,280779.9688,300814.4555,617797.1137,555514.0551,1001767.221,-178248.7078
386,1,3,813263.1021,289017.0447,252029.6218,282921.7498,299477.2987,361738.8052,327592.4177,542589.6319,678386.1786,1046799.161,358265.0688
387,2,1,193714.1192,338166.3305,331359.8879,322227.3287,300734.9157,296629.881,326203.3093,614434.9479,571016.1285,1083119.225,-159534.529
388,3,5,1130461.001,314608.472,347422.7367,324503.7058,305865.6288,297508.7435,300838.7936,647076.548,566331.0647,1197878.372,609923.0957
389,1,5,1095965.361,315387.2704,298229.0278,268173.8931,301812.3627,264912.343,278597.0433,674566.5541,611029.8842,1210611.496,326869.3671
